"","Var1","Var2","Var3","value"
"2","Hartsee","2004","NO3.N..mg.l...0.0.m.Tiefe.",0.42
"4","Hopfensee","2004","NO3.N..mg.l...0.0.m.Tiefe.",0.466
"7","Koenigssee","2004","NO3.N..mg.l...0.0.m.Tiefe.",0.4265
"13","Grosser Ostersee","2004","NO3.N..mg.l...0.0.m.Tiefe.",1.21666666666667
"22","Staffelsee - Nord","2004","NO3.N..mg.l...0.0.m.Tiefe.",0.32
"23","Starnberger See","2004","NO3.N..mg.l...0.0.m.Tiefe.",0.32
"34","Alpsee bei Schwangau","2004","NO3.N..mg.l...0.0.m.Tiefe.",0.56
"40","Foermitzstausee - Hauptbecken","2004","NO3.N..mg.l...0.0.m.Tiefe.",2.225
"41","Altmuehlsee","2004","NO3.N..mg.l...0.0.m.Tiefe.",1.40727272727273
"46","Rothsee","2004","NO3.N..mg.l...0.0.m.Tiefe.",4
"47","Steinberger See","2004","NO3.N..mg.l...0.0.m.Tiefe.",0.45
"48","Kleiner Brombachsee","2004","NO3.N..mg.l...0.0.m.Tiefe.",3.26
"49","Kleiner Brombachsee","2004","NO3.N..mg.l...0.0.m.Tiefe.",3
"50","Igelsbachsee","2004","NO3.N..mg.l...0.0.m.Tiefe.",0.92
"52","TWT Frauenau","2004","NO3.N..mg.l...0.0.m.Tiefe.",0.82
"63","Langbuergner See","2005","NO3.N..mg.l...0.0.m.Tiefe.",0.22
"70","Pilsensee","2005","NO3.N..mg.l...0.0.m.Tiefe.",1.7
"87","Weitsee","2005","NO3.N..mg.l...0.0.m.Tiefe.",0.283333333333333
"88","Woerthsee","2005","NO3.N..mg.l...0.0.m.Tiefe.",0.277142857142857
"91","Chiemsee","2005","NO3.N..mg.l...0.0.m.Tiefe.",0.59
"92","Abtsdorfer See","2005","NO3.N..mg.l...0.0.m.Tiefe.",2.6
"93","Eibsee","2005","NO3.N..mg.l...0.0.m.Tiefe.",0.24
"95","Foermitzstausee - Hauptbecken","2005","NO3.N..mg.l...0.0.m.Tiefe.",2.58
"96","Altmuehlsee","2005","NO3.N..mg.l...0.0.m.Tiefe.",1.51333333333333
"100","Murnersee","2005","NO3.N..mg.l...0.0.m.Tiefe.",0.3
"101","Rothsee","2005","NO3.N..mg.l...0.0.m.Tiefe.",3.32
"103","Kleiner Brombachsee","2005","NO3.N..mg.l...0.0.m.Tiefe.",1.31666666666667
"104","Kleiner Brombachsee","2005","NO3.N..mg.l...0.0.m.Tiefe.",1.35
"105","Igelsbachsee","2005","NO3.N..mg.l...0.0.m.Tiefe.",1.15
"106","Igelsbachsee","2005","NO3.N..mg.l...0.0.m.Tiefe.",1.075
"107","TWT Frauenau","2005","NO3.N..mg.l...0.0.m.Tiefe.",0.7
"108","Rottachsee","2005","NO3.N..mg.l...0.0.m.Tiefe.",0.335
"110","Ammersee","2005","NO3.N..mg.l...0.0.m.Tiefe.",1.025
"121","Niedersonthofner See","2006","NO3.N..mg.l...0.0.m.Tiefe.",0.5
"125","Pilsensee","2006","NO3.N..mg.l...0.0.m.Tiefe.",1.94
"127","Riegsee","2006","NO3.N..mg.l...0.0.m.Tiefe.",0.024
"128","Schliersee","2006","NO3.N..mg.l...0.0.m.Tiefe.",0.225
"130","Simssee","2006","NO3.N..mg.l...0.0.m.Tiefe.",0.8
"135","Tachinger See","2006","NO3.N..mg.l...0.0.m.Tiefe.",1.8
"138","Untreusee","2006","NO3.N..mg.l...0.0.m.Tiefe.",5.24
"139","Waginger See","2006","NO3.N..mg.l...0.0.m.Tiefe.",0.86
"140","Walchensee","2006","NO3.N..mg.l...0.0.m.Tiefe.",0.55
"145","Grosser Alpsee bei Immenstadt","2006","NO3.N..mg.l...0.0.m.Tiefe.",0.6
"149","Eixendorfer See","2006","NO3.N..mg.l...0.0.m.Tiefe.",1.8
"150","Foermitzstausee - Hauptbecken","2006","NO3.N..mg.l...0.0.m.Tiefe.",2.24
"151","Altmuehlsee","2006","NO3.N..mg.l...0.0.m.Tiefe.",0.62
"154","Knappensee","2006","NO3.N..mg.l...0.0.m.Tiefe.",0.32
"156","Rothsee","2006","NO3.N..mg.l...0.0.m.Tiefe.",3.34
"158","Kleiner Brombachsee","2006","NO3.N..mg.l...0.0.m.Tiefe.",0.496
"159","Kleiner Brombachsee","2006","NO3.N..mg.l...0.0.m.Tiefe.",0.272
"160","Igelsbachsee","2006","NO3.N..mg.l...0.0.m.Tiefe.",0.706
"161","Igelsbachsee","2006","NO3.N..mg.l...0.0.m.Tiefe.",0.55
"164","Gruentensee","2006","NO3.N..mg.l...0.0.m.Tiefe.",0.366666666666667
"166","Drachensee","2007","NO3.N..mg.l...0.0.m.Tiefe.",1.2
"169","Hopfensee","2007","NO3.N..mg.l...0.0.m.Tiefe.",0.26
"171","Kochelsee","2007","NO3.N..mg.l...0.0.m.Tiefe.",0.6
"177","Obersee","2007","NO3.N..mg.l...0.0.m.Tiefe.",0.388333333333333
"179","Pelhamer See","2007","NO3.N..mg.l...0.0.m.Tiefe.",0.9
"187","Staffelsee - Nord","2007","NO3.N..mg.l...0.0.m.Tiefe.",0.26
"188","Starnberger See","2007","NO3.N..mg.l...0.0.m.Tiefe.",0.3
"189","Sylvensteinsee","2007","NO3.N..mg.l...0.0.m.Tiefe.",0.475
"191","Tegernsee","2007","NO3.N..mg.l...0.0.m.Tiefe.",0.535
"201","Chiemsee","2007","NO3.N..mg.l...0.0.m.Tiefe.",0.49
"206","Altmuehlsee","2007","NO3.N..mg.l...0.0.m.Tiefe.",0.623333333333333
"208","Brueckelsee","2007","NO3.N..mg.l...0.0.m.Tiefe.",0.2
"213","Kleiner Brombachsee","2007","NO3.N..mg.l...0.0.m.Tiefe.",0.683333333333333
"214","Kleiner Brombachsee","2007","NO3.N..mg.l...0.0.m.Tiefe.",0.716
"215","Igelsbachsee","2007","NO3.N..mg.l...0.0.m.Tiefe.",0.76
"216","Igelsbachsee","2007","NO3.N..mg.l...0.0.m.Tiefe.",0.72
"217","TWT Frauenau","2007","NO3.N..mg.l...0.0.m.Tiefe.",0.64
"218","Rottachsee","2007","NO3.N..mg.l...0.0.m.Tiefe.",0.27
"220","Ammersee","2007","NO3.N..mg.l...0.0.m.Tiefe.",1.08
"223","Hofstaetter See","2008","NO3.N..mg.l...0.0.m.Tiefe.",0.03
"227","Koenigssee","2008","NO3.N..mg.l...0.0.m.Tiefe.",0.35
"233","Grosser Ostersee","2008","NO3.N..mg.l...0.0.m.Tiefe.",1.6
"243","Starnberger See","2008","NO3.N..mg.l...0.0.m.Tiefe.",0.3
"246","Tegernsee","2008","NO3.N..mg.l...0.0.m.Tiefe.",0.6
"250","Walchensee","2008","NO3.N..mg.l...0.0.m.Tiefe.",0.52
"253","Woerthsee","2008","NO3.N..mg.l...0.0.m.Tiefe.",0.24
"255","Grosser Alpsee bei Immenstadt","2008","NO3.N..mg.l...0.0.m.Tiefe.",0.46
"257","Abtsdorfer See","2008","NO3.N..mg.l...0.0.m.Tiefe.",2.25
"260","Foermitzstausee - Hauptbecken","2008","NO3.N..mg.l...0.0.m.Tiefe.",2.7
"261","Altmuehlsee","2008","NO3.N..mg.l...0.0.m.Tiefe.",1.56666666666667
"262","Ausee","2008","NO3.N..mg.l...0.0.m.Tiefe.",0.08
"269","Kleiner Brombachsee","2008","NO3.N..mg.l...0.0.m.Tiefe.",1.074
"274","Gruentensee","2008","NO3.N..mg.l...0.0.m.Tiefe.",0.36
"275","Ammersee","2008","NO3.N..mg.l...0.0.m.Tiefe.",0.98
"277","Hartsee","2009","NO3.N..mg.l...0.0.m.Tiefe.",0.35
"284","Bannwaldsee","2009","NO3.N..mg.l...0.0.m.Tiefe.",0.48
"285","Barmsee","2009","NO3.N..mg.l...0.0.m.Tiefe.",0
"292","Riegsee","2009","NO3.N..mg.l...0.0.m.Tiefe.",0
"295","Simssee","2009","NO3.N..mg.l...0.0.m.Tiefe.",0.52
"303","Untreusee","2009","NO3.N..mg.l...0.0.m.Tiefe.",4.68
"304","Waginger See","2009","NO3.N..mg.l...0.0.m.Tiefe.",0.565
"306","Weissensee","2009","NO3.N..mg.l...0.0.m.Tiefe.",0.56
"312","Abtsdorfer See","2009","NO3.N..mg.l...0.0.m.Tiefe.",2.01666666666667
"316","Altmuehlsee","2009","NO3.N..mg.l...0.0.m.Tiefe.",0.726666666666667
"320","Murnersee","2009","NO3.N..mg.l...0.0.m.Tiefe.",0.2
"321","Rothsee","2009","NO3.N..mg.l...0.0.m.Tiefe.",2.94
"322","Steinberger See","2009","NO3.N..mg.l...0.0.m.Tiefe.",0.58
