"","Var1","Var2","Var3","value"
"2","Hartsee","2004","NO3.N..mg.l...0.0.m.Tiefe.",0.4
"4","Hopfensee","2004","NO3.N..mg.l...0.0.m.Tiefe.",0.3325
"7","Koenigssee","2004","NO3.N..mg.l...0.0.m.Tiefe.",0.400232558139535
"13","Grosser Ostersee","2004","NO3.N..mg.l...0.0.m.Tiefe.",1.14
"22","Staffelsee - Nord","2004","NO3.N..mg.l...0.0.m.Tiefe.",0.291666666666667
"23","Starnberger See","2004","NO3.N..mg.l...0.0.m.Tiefe.",0.341666666666667
"34","Alpsee bei Schwangau","2004","NO3.N..mg.l...0.0.m.Tiefe.",0.53375
"41","Altmuehlsee","2004","NO3.N..mg.l...0.0.m.Tiefe.",2.4864
"47","Steinberger See","2004","NO3.N..mg.l...0.0.m.Tiefe.",0.49
"48","Grosser Brombachsee","2004","NO3.N..mg.l...0.0.m.Tiefe.",0.4
"49","Kleiner Brombachsee","2004","NO3.N..mg.l...0.0.m.Tiefe.",2.7
"51","TWT Frauenau","2004","NO3.N..mg.l...0.0.m.Tiefe.",0.791666666666667
"62","Langbuergner See","2005","NO3.N..mg.l...0.0.m.Tiefe.",0.2
"81","TWT Mauthaus-Hauptbecken","2005","NO3.N..mg.l...0.0.m.Tiefe.",0.88
"86","Weitsee","2005","NO3.N..mg.l...0.0.m.Tiefe.",0.276666666666667
"87","Woerthsee","2005","NO3.N..mg.l...0.0.m.Tiefe.",0.265833333333333
"91","Abtsdorfer See","2005","NO3.N..mg.l...0.0.m.Tiefe.",2.28
"92","Eibsee","2005","NO3.N..mg.l...0.0.m.Tiefe.",0.227272727272727
"94","Foermitzstausee - Hauptbecken","2005","NO3.N..mg.l...0.0.m.Tiefe.",2.23333333333333
"95","Altmuehlsee","2005","NO3.N..mg.l...0.0.m.Tiefe.",1.30384615384615
"99","Murnersee","2005","NO3.N..mg.l...0.0.m.Tiefe.",0.28
"103","Kleiner Brombachsee","2005","NO3.N..mg.l...0.0.m.Tiefe.",0.933333333333333
"105","TWT Frauenau","2005","NO3.N..mg.l...0.0.m.Tiefe.",0.7
"119","Niedersonthofner See","2006","NO3.N..mg.l...0.0.m.Tiefe.",0.472727272727273
